epoch,learning_rate,step,train_loss,val_loss
0,4.754973360832082e-06,49,2.972738265991211,
0,9.60698707785923e-06,99,2.8680686950683594,
0,1.4459000340139028e-05,149,2.861917018890381,
0,1.9311013602418825e-05,199,2.545551300048828,
0,2.4163027774193324e-05,249,3.2440497875213623,
0,2.9015041945967823e-05,299,2.7620983123779297,
0,3.386705429875292e-05,349,2.7893741130828857,
0,3.8719066651538014e-05,399,2.734766960144043,
0,4.357108264230192e-05,449,2.851424217224121,
0,4.842309499508701e-05,499,2.432178497314453,
0,5.3275110985850915e-05,549,3.082854747772217,
0,5.812712333863601e-05,599,2.280266761779785,
0,6.297913932939991e-05,649,2.280724048614502,
0,,686,,2.224092483520508
1,6.78311480442062e-05,699,1.8035609722137451,
1,7.26831640349701e-05,749,2.0083999633789062,
1,7.753518002573401e-05,799,1.735809564590454,
1,8.23871887405403e-05,849,1.6836847066879272,
1,8.72392047313042e-05,899,1.6581228971481323,
1,9.20912207220681e-05,949,1.5591106414794922,
1,9.694322943687439e-05,999,1.5364575386047363,
1,9.92306086118333e-05,1049,1.6395089626312256,
1,9.715117630548775e-05,1099,1.4200842380523682,
1,9.50717439991422e-05,1149,1.412230134010315,
1,9.299230441683903e-05,1199,1.5630717277526855,
1,9.091287211049348e-05,1249,1.614776849746704,
1,8.883343980414793e-05,1299,1.5143810510635376,
1,8.675400022184476e-05,1349,1.4506340026855469,
1,,1373,,1.5317890644073486
2,8.467456791549921e-05,1399,1.614871859550476,
2,8.259513560915366e-05,1449,1.4214550256729126,
2,8.05157033028081e-05,1499,1.3866901397705078,
2,7.843626372050494e-05,1549,1.4150961637496948,
2,7.635683141415939e-05,1599,1.2660115957260132,
2,7.427739910781384e-05,1649,1.4388152360916138,
2,7.219795952551067e-05,1699,1.414167881011963,
2,7.011852721916512e-05,1749,1.5053210258483887,
2,6.803909491281956e-05,1799,1.4455806016921997,
2,6.595966260647401e-05,1849,1.3328783512115479,
2,6.388022302417085e-05,1899,1.3601601123809814,
2,6.18007907178253e-05,1949,1.3182635307312012,
2,5.9721354773500934e-05,1999,1.4650180339813232,
2,5.764192246715538e-05,2049,1.1983909606933594,
2,,2060,,1.4776496887207031
3,5.556248652283102e-05,2099,1.4592230319976807,
3,5.348305421648547e-05,2149,1.3231010437011719,
3,5.140361827216111e-05,2199,1.2928009033203125,
3,4.932418232783675e-05,2249,1.1729627847671509,
3,4.72447500214912e-05,2299,1.5138990879058838,
3,4.516531407716684e-05,2349,1.4659054279327393,
3,4.308588177082129e-05,2399,1.3785343170166016,
3,4.100644582649693e-05,2449,1.5041685104370117,
3,3.892701352015138e-05,2499,1.387703776359558,
3,3.684757757582702e-05,2549,1.4444693326950073,
3,3.476814163150266e-05,2599,1.4418704509735107,
3,3.2688709325157106e-05,2649,1.334428310394287,
3,3.060927338083275e-05,2699,1.2661986351013184,
3,,2747,,1.4615097045898438
4,2.852983925549779e-05,2749,1.2059171199798584,
4,2.6450405130162835e-05,2799,1.2111263275146484,
4,2.437097100482788e-05,2849,1.2603578567504883,
4,2.2291536879492924e-05,2899,1.3304293155670166,
4,2.0212102754157968e-05,2949,1.321903944015503,
4,1.8132668628823012e-05,2999,1.4134749174118042,
4,1.6053232684498653e-05,3049,1.2278850078582764,
4,1.3973799468658399e-05,3099,1.4165117740631104,
4,1.1894364433828741e-05,3149,1.4340999126434326,
4,9.814930308493786e-06,3199,1.3417654037475586,
4,7.73549618315883e-06,3249,1.2749414443969727,
4,5.656061603076523e-06,3299,1.3950198888778687,
4,3.576627250367892e-06,3349,1.2375068664550781,
4,1.497192783972423e-06,3399,1.485583782196045,
4,,3434,,1.4526911973953247
